time,Forca (N),Deslocamento (mm)
71158,2.2176299999999998,0.0
71168,2.2176299999999998,0.0
71178,2.2176299999999998,0.0
71188,2.2176299999999998,0.0
71198,2.2176299999999998,0.0
71208,2.2176299999999998,0.0
71218,2.2176299999999998,0.0
71228,2.2176299999999998,0.0
71238,2.2176299999999998,0.0
71248,2.2176299999999998,0.0
71258,2.2176299999999998,0.0
71268,2.2176299999999998,0.0
71278,2.207267,0.0
71288,2.2176299999999998,0.0
71298,2.2176299999999998,0.0
71308,2.2176299999999998,0.0
71318,2.2176299999999998,0.0
71328,2.2176299999999998,0.0
71338,2.207267,0.0
71348,2.207267,0.0
71358,2.2176299999999998,0.0
71368,2.2176299999999998,0.0
71378,2.2176299999999998,0.0
71388,2.2176299999999998,0.0
71398,2.2176299999999998,0.0
71408,2.2176299999999998,0.0
71418,2.2176299999999998,0.0
71428,2.2176299999999998,0.0
71438,2.2176299999999998,0.0
71448,2.2279929999999997,0.0
71458,2.2279929999999997,0.0
71468,2.2279929999999997,0.0
71478,2.2279929999999997,0.0
71488,2.2176299999999998,0.0
71498,2.2176299999999998,0.0
71508,2.2279929999999997,0.0
71518,2.2279929999999997,0.0
71528,2.2279929999999997,0.0
71538,2.2279929999999997,0.0
71548,2.2279929999999997,0.0
71558,2.2279929999999997,0.0
71568,2.2279929999999997,0.0
71578,2.2279929999999997,0.0
71588,2.2279929999999997,0.0
71598,2.2279929999999997,0.0
71608,2.2279929999999997,0.0
71618,2.2279929999999997,0.0
71628,2.2279929999999997,0.0
71638,2.2279929999999997,0.0
71648,2.2279929999999997,0.0
71658,2.2279929999999997,0.0
71668,2.2279929999999997,0.0
71678,2.2279929999999997,0.0
71688,2.2279929999999997,0.0
71698,2.2279929999999997,0.0
71708,2.2279929999999997,0.0
71718,2.2279929999999997,0.0
71728,2.2279929999999997,0.0
71738,2.2279929999999997,0.0
71748,2.2279929999999997,0.0
71758,2.2279929999999997,0.0
71768,2.2279929999999997,0.0
71778,2.2279929999999997,0.0
71788,2.2279929999999997,0.0
71798,2.2279929999999997,0.0
71808,2.2279929999999997,0.0
71818,2.2279929999999997,0.0
71828,2.2279929999999997,0.0
71838,2.238356,0.0
71848,2.238356,0.0
71858,2.238356,0.0
71868,2.238356,0.0
71878,2.238356,0.0
71888,2.238356,0.0
71898,2.2279929999999997,0.0
71908,2.238356,0.0
71918,2.2279929999999997,0.0
71928,2.2279929999999997,0.0
71938,2.2279929999999997,0.0
71948,2.2279929999999997,0.0
71958,2.238356,0.0
71968,2.2279929999999997,0.0
71978,2.2279929999999997,0.0
71988,2.2279929999999997,0.0
71998,2.238356,0.0
72008,2.238356,0.0
72018,2.238356,0.0
72028,2.238356,0.0
72038,2.238356,0.0
72048,2.238356,0.0
72058,2.238356,0.0
72068,2.238356,0.0
72078,2.238356,0.0
72088,2.238356,0.0
72098,2.238356,0.0
72108,2.238356,0.0
72118,2.238356,0.0
72128,2.238356,0.0
72138,2.238356,0.0
72148,2.238356,0.0
72158,2.238356,0.0
72168,2.238356,0.0
72178,2.238356,0.0
72188,2.238356,0.0
72198,2.238356,0.0
72208,2.238356,0.0
72218,2.238356,0.0
72228,2.248719,0.0
72238,2.248719,0.0
72248,2.248719,0.0
72258,2.248719,0.0
72268,2.248719,0.0
72278,2.238356,0.0
72288,2.248719,0.0
72298,2.248719,0.0
72308,2.238356,0.0
72318,2.238356,0.0
72328,2.238356,0.0
72338,2.238356,0.0
72348,2.238356,0.0
72358,2.238356,0.0
72368,2.238356,0.0
72378,2.2279929999999997,0.0
72388,2.2279929999999997,0.0
72398,2.2279929999999997,0.0
72408,2.2279929999999997,0.0
72418,2.238356,0.0
72428,2.238356,0.0
72438,2.238356,0.0
72448,2.2279929999999997,0.0
72458,2.2279929999999997,0.0
72468,2.238356,0.0
72478,2.238356,0.0
72488,2.238356,0.0
72498,2.238356,0.0
72508,2.238356,0.0
72518,2.238356,0.0
72528,2.238356,0.0
72538,2.238356,0.0
72548,2.238356,0.0
72558,2.238356,0.0
72568,2.238356,0.0
72578,2.238356,0.0
72588,2.238356,0.0
72598,2.238356,0.0
72608,2.238356,0.0
72618,2.2279929999999997,0.0
72628,2.238356,0.0
72638,2.238356,0.0
72648,2.238356,0.0
72658,2.238356,0.0
72668,2.2279929999999997,0.0
72678,2.2279929999999997,0.0
72688,2.2279929999999997,0.0
72698,2.2279929999999997,0.0
72708,2.2279929999999997,0.0
72718,2.2279929999999997,0.0
72728,2.2279929999999997,0.0
72738,2.2279929999999997,0.0
72748,2.2279929999999997,0.0
72758,2.2279929999999997,0.0
72768,2.2279929999999997,0.0
72778,2.238356,0.0
72788,2.2279929999999997,0.0
72798,2.2279929999999997,0.0
72808,2.2279929999999997,0.0
72818,2.2279929999999997,0.0
72828,2.238356,0.0
72838,2.2279929999999997,0.0
72848,2.2279929999999997,0.0
72858,2.2279929999999997,0.0
72868,2.2279929999999997,0.0
72878,2.2279929999999997,0.0
72888,2.2279929999999997,0.0
72898,2.2279929999999997,0.0
72908,2.238356,0.0
72918,2.238356,0.0
72928,2.238356,0.0
72938,2.238356,0.0
72948,2.2279929999999997,0.0
72958,2.238356,0.0
72968,2.2279929999999997,0.0
72978,2.2279929999999997,0.0
72988,2.2279929999999997,0.0
72998,2.2279929999999997,0.0
73008,2.2279929999999997,0.0
73018,2.2279929999999997,0.0
73028,2.2279929999999997,0.0
73038,2.2279929999999997,0.0
73048,2.2279929999999997,0.0
73058,2.2279929999999997,0.0
73068,2.238356,0.0
73078,2.238356,0.0
73088,2.238356,0.0
73098,2.2279929999999997,0.0
73108,2.238356,0.0
73118,2.238356,0.0
73128,2.238356,0.0
73138,2.248719,0.0
73148,2.248719,0.0
73158,2.248719,0.0
73168,2.248719,0.0
73178,2.248719,0.0
73188,2.248719,0.0
73198,2.248719,0.0
73208,2.238356,0.0
73218,2.238356,0.0
73228,2.248719,0.0
73238,2.238356,0.0
73248,2.238356,0.0
73258,2.238356,0.0
73268,2.238356,0.0
